video_id,title,description,channel_id,channel_title,published_at,duration,view_count,like_count,comment_count,full_response
F6fgLwUeeqI,BATALKAN REVISI UU TNI,"Gue membuka youtube membership kepada yang merasa SATU PAHAM, SATU RASA dan SATU JIWA dengan gue:
https://www.youtube.com/channel/UCh1SzxJAH9B5nZDYYa42UqQ/join",UCh1SzxJAH9B5nZDYYa42UqQ,Pandji Pragiwaksono,2025-03-20T01:06:07Z,PT46M18S,703934,29361,4330,"{'kind': 'youtube#video', 'etag': 'qYGmJz2Pas6Yh_zDP0nlwoD7NFY', 'id': 'F6fgLwUeeqI', 'snippet': {'publishedAt': '2025-03-20T01:06:07Z', 'channelId': 'UCh1SzxJAH9B5nZDYYa42UqQ', 'title': 'BATALKAN REVISI UU TNI', 'description': 'Gue membuka youtube membership kepada yang merasa SATU PAHAM, SATU RASA dan SATU JIWA dengan gue:\nhttps://www.youtube.com/channel/UCh1SzxJAH9B5nZDYYa42UqQ/join', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/F6fgLwUeeqI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/F6fgLwUeeqI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/F6fgLwUeeqI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/F6fgLwUeeqI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/F6fgLwUeeqI/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Pandji Pragiwaksono', 'tags': ['pandji', 'pragiwaksono', 'stand', 'up', 'standup', 'stand-up', 'comedy', 'world', 'tour', 'tur', 'dunia', 'juru', 'bicara', 'mesakke', 'bangsaku'], 'categoryId': '23', 'liveBroadcastContent': 'none', 'defaultLanguage': 'id', 'localized': {'title': 'BATALKAN REVISI UU TNI', 'description': 'Gue membuka youtube membership kepada yang merasa SATU PAHAM, SATU RASA dan SATU JIWA dengan gue:\nhttps://www.youtube.com/channel/UCh1SzxJAH9B5nZDYYa42UqQ/join'}, 'defaultAudioLanguage': 'id'}, 'contentDetails': {'duration': 'PT46M18S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}, 'status': {'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}, 'statistics': {'viewCount': '703934', 'likeCount': '29361', 'favoriteCount': '0', 'commentCount': '4330'}}"
MxCqHoldj2Y,RUU TNI Resmi Jadi UU! Ada yang Perlu Dikhawatirkan? [Metro Pagi Primetime],"MetroTV, DPR mengesahkan revisi Undang-Undang Nomor 34 Tahun 2004 tentang TNI menjadi undang-undang. Dalam rapat paripurna, disetujui tiga pasal perbaikan. Sementara itu, Menteri Pertahanan Sjafrie Sjamsoedin menegaskan bahwa dwifungsi TNI tidak akan muncul lagi setelah RUU TNI disahkan menjadi undang-undang.




#ruutni #undangundang #tni #dpr #puanmaharani #prabowo #mayorteddy 
-----------------------------------------------------------------------

Follow juga sosmed kami untuk mendapatkan update informasi  terkini!


Website: https://www.metrotvnews.com/
Facebook: https://www.facebook.com/metrotv/
Instagram: https://www.instagram.com/metrotv/
Twitter: https://twitter.com/metro_tv
TikTok: https://www.tiktok.com/@metro_tv
Metro Xtend: https://xtend.metrotvnews.com/",UCzl0OrB3-ehunyotIQvK77A,METRO TV ,2025-03-21T01:45:37Z,PT3M54S,198213,1118,1255,"{'kind': 'youtube#video', 'etag': 'SlS1n0p4pn4LqAhwORyjd8XHXSQ', 'id': 'MxCqHoldj2Y', 'snippet': {'publishedAt': '2025-03-21T01:45:37Z', 'channelId': 'UCzl0OrB3-ehunyotIQvK77A', 'title': 'RUU TNI Resmi Jadi UU! Ada yang Perlu Dikhawatirkan? [Metro Pagi Primetime]', 'description': 'MetroTV, DPR mengesahkan revisi Undang-Undang Nomor 34 Tahun 2004 tentang TNI menjadi undang-undang. Dalam rapat paripurna, disetujui tiga pasal perbaikan. Sementara itu, Menteri Pertahanan Sjafrie Sjamsoedin menegaskan bahwa dwifungsi TNI tidak akan muncul lagi setelah RUU TNI disahkan menjadi undang-undang.\n\n\n\n\n#ruutni #undangundang #tni #dpr #puanmaharani #prabowo #mayorteddy \n-----------------------------------------------------------------------\n\nFollow juga sosmed kami untuk mendapatkan update informasi  terkini!\n\n\nWebsite: https://www.metrotvnews.com/\nFacebook: https://www.facebook.com/metrotv/\nInstagram: https://www.instagram.com/metrotv/\nTwitter: https://twitter.com/metro_tv\nTikTok: https://www.tiktok.com/@metro_tv\nMetro Xtend: https://xtend.metrotvnews.com/', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/MxCqHoldj2Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MxCqHoldj2Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MxCqHoldj2Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/MxCqHoldj2Y/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/MxCqHoldj2Y/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'METRO TV ', 'tags': ['breaking news', 'headline news', 'nasdem', 'pemilu 2024', 'gibran rakabuming raka', 'pilkada2024', 'top news', 'prabowo subianto', 'presiden'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'id', 'localized': {'title': 'RUU TNI Resmi Jadi UU! Ada yang Perlu Dikhawatirkan? [Metro Pagi Primetime]', 'description': 'MetroTV, DPR mengesahkan revisi Undang-Undang Nomor 34 Tahun 2004 tentang TNI menjadi undang-undang. Dalam rapat paripurna, disetujui tiga pasal perbaikan. Sementara itu, Menteri Pertahanan Sjafrie Sjamsoedin menegaskan bahwa dwifungsi TNI tidak akan muncul lagi setelah RUU TNI disahkan menjadi undang-undang.\n\n\n\n\n#ruutni #undangundang #tni #dpr #puanmaharani #prabowo #mayorteddy \n-----------------------------------------------------------------------\n\nFollow juga sosmed kami untuk mendapatkan update informasi  terkini!\n\n\nWebsite: https://www.metrotvnews.com/\nFacebook: https://www.facebook.com/metrotv/\nInstagram: https://www.instagram.com/metrotv/\nTwitter: https://twitter.com/metro_tv\nTikTok: https://www.tiktok.com/@metro_tv\nMetro Xtend: https://xtend.metrotvnews.com/'}, 'defaultAudioLanguage': 'id'}, 'contentDetails': {'duration': 'PT3M54S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}, 'status': {'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}, 'statistics': {'viewCount': '198213', 'likeCount': '1118', 'favoriteCount': '0', 'commentCount': '1255'}}"
sg8Mzx0fZbU,Kenapa UU TNI Banyak Ditolak? Ada Contoh Negara-negara Lain! Seberapa Mengerikan? | LearnByGoogling,"Studi banding aja ini mah :')

follow Koi on IG : https://www.instagram.com/koiyocabe/

Thanks for watching!

#learningbygoogling #koiyocabe #ruutni",UCfQHaUbD0oEBH_FRYHE5qIg,Sepulang Sekolah,2025-03-26T10:00:59Z,PT18M43S,783227,19101,3689,"{'kind': 'youtube#video', 'etag': 'mUB7gv_dbI_w-oL4cLHet-Z-9xY', 'id': 'sg8Mzx0fZbU', 'snippet': {'publishedAt': '2025-03-26T10:00:59Z', 'channelId': 'UCfQHaUbD0oEBH_FRYHE5qIg', 'title': 'Kenapa UU TNI Banyak Ditolak? Ada Contoh Negara-negara Lain! Seberapa Mengerikan? | LearnByGoogling', 'description': ""Studi banding aja ini mah :')\n\nfollow Koi on IG : https://www.instagram.com/koiyocabe/\n\nThanks for watching!\n\n#learningbygoogling #koiyocabe #ruutni"", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/sg8Mzx0fZbU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/sg8Mzx0fZbU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/sg8Mzx0fZbU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/sg8Mzx0fZbU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/sg8Mzx0fZbU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Sepulang Sekolah', 'tags': ['sepulang sekolah', 'koi', 'jui', 'SMA', 'pelajar', 'komedi', 'comedy', 'standup', 'web series', 'bogor', 'indonesia', 'belajar', 'learning by googling', 'learning by google', 'learning with google', 'koide', 'koide namizo', 'koiyocabe', 'koiyo cabe', 'koyocabe', 'koyo cabe', 'history', 'sejarah', 'budaya', 'culture', 'asia tenggara', 'south east asia', 'story telling', 'storytelling', 'penjelasan', 'UU', 'RUU', 'TNI', 'Myanmar', 'Thailand', 'Chile', 'Korsel', 'Korea Selatan', 'Militer', 'Tentara', 'Gwangju', 'Prayut', 'Lung Tuu', 'Indonesia'], 'categoryId': '27', 'liveBroadcastContent': 'none', 'defaultLanguage': 'id', 'localized': {'title': 'Kenapa UU TNI Banyak Ditolak? Ada Contoh Negara-negara Lain! Seberapa Mengerikan? | LearnByGoogling', 'description': ""Studi banding aja ini mah :')\n\nfollow Koi on IG : https://www.instagram.com/koiyocabe/\n\nThanks for watching!\n\n#learningbygoogling #koiyocabe #ruutni""}, 'defaultAudioLanguage': 'id'}, 'contentDetails': {'duration': 'PT18M43S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}, 'status': {'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}, 'statistics': {'viewCount': '783227', 'likeCount': '19101', 'favoriteCount': '0', 'commentCount': '3689'}}"
7CLZkPwhEG4,Revisi UU TNI: Apa dampaknya untuk masyarakat sipil dan mengapa buru-buru disahkan?,"Ada dampak revisi UU TNI buat masyarakat sipil?

Presiden Prabowo mengusulkan pembahasan revisi UU TNI di DPR diprioritaskan tahun ini, padahal sebelumnya daftar itu tidak masuk prioritas DPR tahun 2025.

Pembahasannya ditargetkan selesai 21 Maret, sebelum DPR reses.

Salah satu yang dibahas adalah pelibatan TNI aktif yang semakin luas di jabatan sipil. Menurut para ahli, ini bisa 'menganggu tatanan sosial'.

Apa saja contoh kasusnya?
Baca: https://www.bbc.com/indonesia/articles/cj4npvqdq78o

============
Berlangganan channel ini di sini: https://bit.ly/2Mkg9hY

Ini adalah channel resmi BBC Indonesia, di mana kami menyajikan berita internasional dan berita nasional yang akurat dan tidak berpihak.

Video tentang berita terkini disajikan dalam berbagai format, mulai dari video dokumenter, video eksplainer, dan wawancara tokoh. 

Terima kasih telah mengunjungi kami. Ikuti juga akun media sosial kami lainnya:
▪️ Instagram: https://www.instagram.com/bbcindonesia/
▪️ Twitter: https://twitter.com/BBCIndonesia
▪️ Facebook: https://www.facebook.com/BBCNewsIndonesia/

#bbcindonesia",UC46q-QSvoJz-1iSxPeuOqWA,BBC News Indonesia,2025-03-19T02:35:46Z,PT3M50S,636032,6492,4720,"{'kind': 'youtube#video', 'etag': 'nBDS8gpVQw60XZiO_eeLMHUqDbc', 'id': '7CLZkPwhEG4', 'snippet': {'publishedAt': '2025-03-19T02:35:46Z', 'channelId': 'UC46q-QSvoJz-1iSxPeuOqWA', 'title': 'Revisi UU TNI: Apa dampaknya untuk masyarakat sipil dan mengapa buru-buru disahkan?', 'description': ""Ada dampak revisi UU TNI buat masyarakat sipil?\n\nPresiden Prabowo mengusulkan pembahasan revisi UU TNI di DPR diprioritaskan tahun ini, padahal sebelumnya daftar itu tidak masuk prioritas DPR tahun 2025.\n\nPembahasannya ditargetkan selesai 21 Maret, sebelum DPR reses.\n\nSalah satu yang dibahas adalah pelibatan TNI aktif yang semakin luas di jabatan sipil. Menurut para ahli, ini bisa 'menganggu tatanan sosial'.\n\nApa saja contoh kasusnya?\nBaca: https://www.bbc.com/indonesia/articles/cj4npvqdq78o\n\n============\nBerlangganan channel ini di sini: https://bit.ly/2Mkg9hY\n\nIni adalah channel resmi BBC Indonesia, di mana kami menyajikan berita internasional dan berita nasional yang akurat dan tidak berpihak.\n\nVideo tentang berita terkini disajikan dalam berbagai format, mulai dari video dokumenter, video eksplainer, dan wawancara tokoh. \n\nTerima kasih telah mengunjungi kami. Ikuti juga akun media sosial kami lainnya:\n▪️ Instagram: https://www.instagram.com/bbcindonesia/\n▪️ Twitter: https://twitter.com/BBCIndonesia\n▪️ Facebook: https://www.facebook.com/BBCNewsIndonesia/\n\n#bbcindonesia"", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/7CLZkPwhEG4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7CLZkPwhEG4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7CLZkPwhEG4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/7CLZkPwhEG4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/7CLZkPwhEG4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'BBC News Indonesia', 'tags': ['BBC Indonesia', 'bbcindonesia', 'berita terbaru', 'uu tni', 'ruu tni', 'tni', 'tentara', 'undang-undang', 'dpr', 'demokrasi', 'prabowo', 'dwifungsi abri', 'abri'], 'categoryId': '25', 'liveBroadcastContent': 'none', 'defaultLanguage': 'id', 'localized': {'title': 'Revisi UU TNI: Apa dampaknya untuk masyarakat sipil dan mengapa buru-buru disahkan?', 'description': ""Ada dampak revisi UU TNI buat masyarakat sipil?\n\nPresiden Prabowo mengusulkan pembahasan revisi UU TNI di DPR diprioritaskan tahun ini, padahal sebelumnya daftar itu tidak masuk prioritas DPR tahun 2025.\n\nPembahasannya ditargetkan selesai 21 Maret, sebelum DPR reses.\n\nSalah satu yang dibahas adalah pelibatan TNI aktif yang semakin luas di jabatan sipil. Menurut para ahli, ini bisa 'menganggu tatanan sosial'.\n\nApa saja contoh kasusnya?\nBaca: https://www.bbc.com/indonesia/articles/cj4npvqdq78o\n\n============\nBerlangganan channel ini di sini: https://bit.ly/2Mkg9hY\n\nIni adalah channel resmi BBC Indonesia, di mana kami menyajikan berita internasional dan berita nasional yang akurat dan tidak berpihak.\n\nVideo tentang berita terkini disajikan dalam berbagai format, mulai dari video dokumenter, video eksplainer, dan wawancara tokoh. \n\nTerima kasih telah mengunjungi kami. Ikuti juga akun media sosial kami lainnya:\n▪️ Instagram: https://www.instagram.com/bbcindonesia/\n▪️ Twitter: https://twitter.com/BBCIndonesia\n▪️ Facebook: https://www.facebook.com/BBCNewsIndonesia/\n\n#bbcindonesia""}, 'defaultAudioLanguage': 'id'}, 'contentDetails': {'duration': 'PT3M50S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}, 'status': {'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}, 'statistics': {'viewCount': '636032', 'likeCount': '6492', 'favoriteCount': '0', 'commentCount': '4720'}}"
KjXe214MfwQ,RUU TNI itu apa? Mirip Orde Baru? #shorts,,UCl5CVfRyt-6Qa6-X-kYxmYw,Gerald Vincent (geraldvincentt),2025-03-18T05:19:02Z,PT1M21S,1477802,110547,5408,"{'kind': 'youtube#video', 'etag': 'LXcRNYlUjSQWr6EU_aVqbvvpGQE', 'id': 'KjXe214MfwQ', 'snippet': {'publishedAt': '2025-03-18T05:19:02Z', 'channelId': 'UCl5CVfRyt-6Qa6-X-kYxmYw', 'title': 'RUU TNI itu apa? Mirip Orde Baru? #shorts', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/KjXe214MfwQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KjXe214MfwQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KjXe214MfwQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/KjXe214MfwQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/KjXe214MfwQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'Gerald Vincent (geraldvincentt)', 'categoryId': '23', 'liveBroadcastContent': 'none', 'defaultLanguage': 'id', 'localized': {'title': 'RUU TNI itu apa? Mirip Orde Baru? #shorts', 'description': ''}, 'defaultAudioLanguage': 'id'}, 'contentDetails': {'duration': 'PT1M21S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}, 'status': {'uploadStatus': 'processed', 'privacyStatus': 'public', 'license': 'youtube', 'embeddable': True, 'publicStatsViewable': True, 'madeForKids': False}, 'statistics': {'viewCount': '1477802', 'likeCount': '110547', 'favoriteCount': '0', 'commentCount': '5408'}}"
